campaign_id,framework,pattern,condition,observed_stages,final_stage,campaign_label,any_protected_change,cum_n_events,cum_duration_seconds,cum_event_exec,cum_event_file,cum_event_syscall,cum_event_credential,cum_event_capability,cum_event_alert,cum_proc_unique,cum_proc_shell,cum_proc_enum,cum_proc_policy,cum_proc_interpreter,cum_proc_service,cum_tree_max_depth,cum_tree_mean_depth,cum_tree_deep_events,cum_priv_euid0_events,cum_priv_failures,cum_path_unique,cum_path_account_file,cum_path_sudoers_policy,cum_path_suid_sgid,cum_path_capability_binary,cum_path_scheduler,cum_path_systemd,cum_path_temporary,cum_path_procfs,cum_path_write_ops,cum_path_mode_ops,cum_seq_ngram_000,cum_seq_ngram_001,cum_seq_ngram_002,cum_seq_ngram_003,cum_seq_ngram_004,cum_seq_ngram_005,cum_seq_ngram_006,cum_seq_ngram_007,cum_seq_ngram_008,cum_seq_ngram_009,cum_seq_ngram_010,cum_seq_ngram_011,cum_seq_ngram_012,cum_seq_ngram_013,cum_seq_ngram_014,cum_seq_ngram_015,cum_seq_ngram_016,cum_seq_ngram_017,cum_seq_ngram_018,cum_seq_ngram_019,cum_seq_ngram_020,cum_seq_ngram_021,cum_seq_ngram_022,cum_seq_ngram_023,cum_seq_ngram_024,cum_seq_ngram_025,cum_seq_ngram_026,cum_seq_ngram_027,cum_seq_ngram_028,cum_seq_ngram_029,cum_seq_ngram_030,cum_seq_ngram_031,cum_seq_ngram_032,cum_seq_ngram_033,cum_seq_ngram_034,cum_seq_ngram_035,cum_seq_ngram_036,cum_seq_ngram_037,cum_seq_ngram_038,cum_seq_ngram_039,cum_seq_ngram_040,cum_seq_ngram_041,cum_seq_ngram_042,cum_seq_ngram_043,cum_seq_ngram_044,cum_seq_ngram_045,cum_seq_ngram_046,cum_seq_ngram_047,cum_seq_ngram_048,cum_seq_ngram_049,cum_seq_ngram_050,cum_seq_ngram_051,cum_seq_ngram_052,cum_seq_ngram_053,cum_seq_ngram_054,cum_seq_ngram_055,cum_seq_ngram_056,cum_seq_ngram_057,cum_seq_ngram_058,cum_seq_ngram_059,cum_seq_ngram_060,cum_seq_ngram_061,cum_seq_ngram_062,cum_seq_ngram_063,cum_seq_ngram_064,cum_seq_ngram_065,cum_seq_ngram_066,cum_seq_ngram_067,cum_seq_ngram_068,cum_seq_ngram_069,cum_seq_ngram_070,cum_seq_ngram_071,cum_seq_ngram_072,cum_seq_ngram_073,cum_seq_ngram_074,cum_seq_ngram_075,cum_seq_ngram_076,cum_seq_ngram_077,cum_seq_ngram_078,cum_seq_ngram_079,cum_seq_ngram_080,cum_seq_ngram_081,cum_seq_ngram_082,cum_seq_ngram_083,cum_seq_ngram_084,cum_seq_ngram_085,cum_seq_ngram_086,cum_seq_ngram_087,cum_seq_ngram_088,cum_seq_ngram_089,cum_motif_enum_sensitive,cum_motif_policy_retry,cum_motif_capability_probe,cum_motif_service_file,cum_motif_interpreter_after_write,cum_motif_unique_symbols,cum_motif_repeated_adjacent,cum_motif_sequence_entropy,mean_timing_mean_delta,mean_timing_std_delta,mean_timing_cv_delta,mean_timing_min_delta,mean_timing_max_delta,mean_timing_idle_10,mean_timing_idle_30,mean_timing_entropy,mean_timing_burstiness,mean_timing_interval_slope,mean_timing_first_sensitive_rank,mean_timing_time_to_sensitive
staged_matched_control_agent01_codex_001,agent01_codex,staged,matched_control,1,1,0,0,22049.0,83.36162816,546.0,18524.0,2969.0,10.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5673.0,11.0,9.0,0.0,0.0,0.0,0.0,1.0,206.0,56.0,76.0,1.0,0.001587373577032972,0.006893736677400336,0.006803029615855594,0.018322826432037736,0.09007211211392807,0.03601070343326228,0.2169712912150211,0.0057145448773187,0.006168080185042405,0.015919089301102092,0.0114290897546374,0.003174747154065944,0.2523016916866978,0.026214340786430222,0.0030840400925212026,0.0019048482924395665,0.006666969023538483,0.11338382693092658,0.06975373032790602,0.019819492947525965,0.005895959000408181,0.007075150800489818,0.011338382693092657,0.007664746700530636,0.009796362646832056,0.11098008979999092,0.021180098870697085,0.00072565649235793,0.016735452855004763,0.0017687877001224545,0.007574039638985895,0.04204272302598757,0.0029933330309764613,0.014558483377930972,0.00721121139280693,0.0031293936232935733,0.02453626014785251,0.00870787790829516,0.007528686108213525,0.006803029615855594,0.07964080003628282,0.017778584062769286,0.029162320286634315,0.03759807701029525,0.02394666424781169,0.06090979182729375,0.027892421425007936,0.004852827792643657,0.0037189895233343917,0.0026758583155698673,0.014513129847158602,0.007347271985124042,0.009887069708376797,0.02952514853281328,0.0029933330309764613,0.006485554900449,0.00789151435439249,0.0995963535761259,0.01669009932423239,0.003174747154065944,0.005124948977277881,0.004852827792643657,0.0065309084312213704,0.010159190893011021,0.2413714907705565,0.006666969023538483,0.0077554537620753775,0.002040908884756678,0.0024944441924803847,0.004535353077237063,0.02308494716313665,0.00285727243865935,0.005124948977277881,0.003401514807927797,0.032972016871513445,0.00430858542337521,0.03084040092521203,0.008163635539026713,0.013107170393215111,0.02589686607102363,0.008118282008254343,0.008118282008254343,0.012653635085491406,0.018277472901265364,0.06580797315070978,0.14032382420971473,0.3691777404870969,0.08857544559843984,0.06898272030477573,0.06181686244274117,0.0,0.0,0.0,0.0,0.0,51.0,12213.0,1.5374629922929668,0.0037809156458635702,0.04906239296755701,12.976322295079596,1.1776e-05,4.967908096,0.0,0.0,0.0020687985836881618,0.8569008575154294,8.0610502770845e-08,0.002902757619738752,0.143279104
staged_matched_control_agent01_codex_001,agent01_codex,staged,matched_control,2,2,0,0,43101.0,167.48243430399998,1088.0,37125.0,4868.0,20.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10378.0,22.0,17.0,0.0,0.0,0.0,0.0,2.0,489.0,113.0,140.0,2.0,0.0029649149032727595,0.012973919082872501,0.013310724846712519,0.03428330524640216,0.133630918878131,0.05862138175361189,0.444265610044586,0.01165222300766261,0.01296078396615584,0.02912448546298695,0.029812141246182144,0.00972994380996562,0.526907429858843,0.0532426516357557,0.00631413699542829,0.004327420969619882,0.012082131478412129,0.22667472565788838,0.14200339781793073,0.03806004016394246,0.011453625730410082,0.015055390207672034,0.023451246078994237,0.014932464732071583,0.018774131979912047,0.22659855835404755,0.04336326436566193,0.0016281835681702045,0.03388346729543798,0.002813819051062983,0.013986732019757319,0.08441399416412171,0.007980982660465347,0.03441407904580101,0.015191450799989145,0.006929507626713675,0.0502820325210237,0.017068128715819385,0.013751372788813943,0.015828300373978338,0.1619607696353708,0.039344231032178364,0.04849540027903409,0.07507670136902601,0.05363505489953124,0.12565423416056376,0.058055826327155,0.00936546317170503,0.006854083576155976,0.006095960918647959,0.028763557359983986,0.014995001417007,0.018817337616414038,0.060306071960516114,0.006460937059097305,0.01166321023010889,0.015729249486446453,0.20086939176727164,0.03274558098868233,0.007212368282699803,0.017332815213264963,0.008605440371021008,0.013703623612676814,0.01980198017668953,0.5038168641317573,0.012984658554224402,0.014263148992932302,0.002990937385611704,0.005249526844959959,0.01109054973313674,0.03738287610100478,0.00732240639267797,0.011632644208134806,0.006964121686134143,0.07239819965699701,0.009628745028163355,0.05269105644487762,0.015763863545866917,0.02726259505595499,0.05373270114607588,0.017903575567061104,0.016241025690564813,0.025241512721820493,0.03523548164152757,0.09079372272319695,0.2918058686710486,0.7701847706980032,0.18429081705958367,0.09900362093179454,0.12755883470190896,0.0,0.0,0.0,0.0,0.0,105.0,23290.0,3.098242613793948,0.0038884818157112256,0.05339771743492676,13.711926685817108,9.727999999999999e-06,5.548059520000001,0.0,0.0,0.003386276960214394,0.8637151730122739,8.982627837054735e-08,0.0029714966189995835,0.162926464
staged_matched_control_agent01_codex_001,agent01_codex,staged,matched_control,3,3,0,0,64556.0,250.684610304,1648.0,56046.0,6833.0,29.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,15186.0,33.0,26.0,0.0,0.0,0.0,0.0,3.0,744.0,180.0,220.0,3.0,0.00394370772545873,0.01889328519799718,0.02020888378402317,0.05138887504365222,0.1778630326045351,0.08150649011996006,0.6751208885344485,0.017245324848725298,0.01971911535743992,0.043946205341803074,0.04910834259784842,0.016348447655223135,0.7926263764913295,0.07906413846866178,0.00939034300801277,0.006518052524036103,0.01697609558934198,0.3426383704959215,0.21275613610737376,0.054885954869139386,0.015974716385269087,0.024004353153372335,0.0357094609473233,0.022762807309559346,0.028329014291727475,0.34685024793689534,0.0675068206462492,0.0025603672083473195,0.05108225545670575,0.004351922057355222,0.021211155231129958,0.12673513142816273,0.013014774317421767,0.053244188577378726,0.02390736783564517,0.010238759549342433,0.0771289213581246,0.026017091661519685,0.019903784813982903,0.023099332767359836,0.24403953915296575,0.060085317026119175,0.07068137091524943,0.11180473679200434,0.08262596610903952,0.1909070889729618,0.08825857626889352,0.014585691556696874,0.010582818136864435,0.010430614845471543,0.04274631196264071,0.022499079720432774,0.027486645470061206,0.09032238517421921,0.009863407345743775,0.01758257634523357,0.023046891061836806,0.29795631789171817,0.04775373759553388,0.011966504847603088,0.028938501533470044,0.01275365756980917,0.020135690729898906,0.029263644124487245,0.7618919049147916,0.01881080630533137,0.020974871202207528,0.004062948571815386,0.00753337676339389,0.017242961758305697,0.053835917350130866,0.011424014409457277,0.018018102143348043,0.011298775612957727,0.11672353174741881,0.014336272411057786,0.07473719953506638,0.02228914902710672,0.041431786386647136,0.08179142871540704,0.02620000996463743,0.024444241724123426,0.037266681680105274,0.05164191370864479,0.11708130137619159,0.4479466284007153,1.170184770698003,0.28067860545389733,0.12785470459527626,0.18978209268373136,0.0,0.0,0.0,0.0,0.0,161.0,34434.0,4.654805734730658,0.003885043251429994,0.05086861142797803,13.078745802800883,1.1178666666666667e-05,4.864075008,0.0,0.0,0.00376788574265585,0.8571104641184825,7.994826684869984e-08,0.0029753733092202565,0.15487231999999998
staged_matched_control_agent01_codex_002,agent01_codex,staged,matched_control,1,1,0,0,21111.0,85.046939136,475.0,17959.0,2667.0,10.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5551.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,228.0,63.0,58.0,1.0,0.0018473781440954953,0.006205295817346407,0.009378996731561746,0.013973757756619772,0.08346359717682725,0.048458149779735685,0.21216427454881343,0.005257922410117948,0.0076263559281890955,0.014684287812041116,0.017100090000473685,0.006915825872767752,0.239780209369523,0.02837383354649235,0.0037894936289138365,0.0024631708587939936,0.007294775235659135,0.12003221069584577,0.06513192174695656,0.01890009947420776,0.007152669224574866,0.006631613850599214,0.010184264127705935,0.012694803656861351,0.016152716593245228,0.114347970252475,0.02178958836625456,0.002984226232769646,0.016768509307943727,0.0013263227701198427,0.011036900194211548,0.07166879825683294,0.004121074321443797,0.02292643645492871,0.014021126426981195,0.006205295817346407,0.026242243380228316,0.010657950831320165,0.005636871773009332,0.009189522050116054,0.06882667803514755,0.0179527260669793,0.022310643740230212,0.03481597271564587,0.02529486997299986,0.054142390223106435,0.02595803135805978,0.0054947657619250625,0.003126332243853915,0.0042158116621666426,0.01378428307517408,0.007152669224574866,0.011321112216380087,0.025910662687698358,0.003457912936383876,0.007436881246743404,0.0071053005542134435,0.09606366349296576,0.017052721330112264,0.0042158116621666426,0.011652692908910047,0.004121074321443797,0.006489507839514945,0.009663208753730283,0.22448012884278337,0.0059210837951778695,0.014257969778788309,0.000994742077589882,0.0024631708587939936,0.004831604376865141,0.012742172327222774,0.003505281606745299,0.007721093268911941,0.005115816399033679,0.044005494765761925,0.004310549002889489,0.045473923546966034,0.007484249917104827,0.011747430249632892,0.023210648477097248,0.010184264127705935,0.007342143906020558,0.011368480886741509,0.019610629529629102,0.04097389986263086,0.13860072947752355,0.35706503718440624,0.08682677277248828,0.05561081900431055,0.06186348349201838,0.0,0.0,0.0,0.0,0.0,51.0,10888.0,1.6253381024173947,0.004028751261771672,0.04198762884642917,10.42199324213716,0.000961024,3.214736128,0.0,0.0,0.005602664033939723,0.8248992352397879,1.1018909492541214e-07,0.003173851255329228,0.141767936
staged_matched_control_agent01_codex_002,agent01_codex,staged,matched_control,2,2,0,0,41078.0,160.33848012800001,972.0,35213.0,4873.0,20.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10436.0,22.0,15.0,0.0,0.0,0.0,0.0,2.0,450.0,121.0,113.0,2.0,0.0037004356890446614,0.011313724725044109,0.017943127547407893,0.02944929238876281,0.1482705286136981,0.07996012804387151,0.43097531276186496,0.010316268681465672,0.01624056938038522,0.026704120536035707,0.03568074808631533,0.013326403325564867,0.5033150418431044,0.05591928353897996,0.0062936254464127095,0.004015732585643295,0.01155179932540722,0.24213367811709083,0.13234281972862633,0.039133484559598655,0.013913825131821824,0.013943678757695924,0.022204096851700526,0.02341248783575653,0.02952478049868921,0.22933770331202324,0.04442693999644437,0.005838936504718361,0.03379660566693607,0.0022778928607694146,0.02125375800960695,0.11834581533501193,0.008678594229291747,0.04621486235766823,0.026441620241775605,0.012064964270293771,0.05554058564496513,0.018370676829216694,0.010895548589756965,0.01850489241121186,0.14425112837821363,0.03678379733457082,0.04609989600646951,0.07042472716047984,0.051888749874837894,0.1153433718427789,0.05320298553244752,0.010703359942322719,0.007132943151852112,0.00782176147936502,0.02575403316281869,0.01496556049517135,0.021638135304475444,0.05375660849828583,0.0067132842991324115,0.01184415324554142,0.014317200188610199,0.19527736610227112,0.030675198417306135,0.00802209202476493,0.023672525632904638,0.007626858865942219,0.013551159564861767,0.020531140841675392,0.46963463377592307,0.01203116542987512,0.02612755459373297,0.0023469732590392736,0.005167633221692777,0.010490942284412594,0.029620020777165176,0.007662140423793428,0.013981422812659124,0.008721766216232055,0.08642548775419284,0.009168564728837304,0.07166714235800425,0.014245405824351784,0.024718833064277055,0.048402214561135914,0.017846907489252488,0.016206770539966567,0.0233883136107361,0.0409458326147195,0.07267620867216659,0.2861441761645572,0.7364410075354855,0.17767667511134738,0.09793064672004151,0.12446677892949021,0.0,0.0,0.0,0.0,0.0,105.0,21239.0,3.2041016489163265,0.0038998694952552637,0.03731383707104225,9.538780081001018,0.000913664,2.983568128,0.0,0.0,0.004176450541158749,0.8088824344903949,4.729634332575052e-08,0.0032647779766579025,0.134997504
staged_matched_control_agent01_codex_002,agent01_codex,staged,matched_control,3,3,0,0,63966.0,250.83019315200002,1515.0,54801.0,7620.0,30.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,16161.0,33.0,23.0,0.0,0.0,0.0,0.0,3.0,731.0,177.0,184.0,3.0,0.005360694339866053,0.01642557372888892,0.026943477075544908,0.044566384314662845,0.2209286900956974,0.11093705918682852,0.6527946067150282,0.015996100907959904,0.025590447045537264,0.03946189753708429,0.0544241944337463,0.019180999620566616,0.7580773627099342,0.0861971584079069,0.008609249354137281,0.005807064287845323,0.01592090103809509,0.3601431153767902,0.20019496932666897,0.057396329718633954,0.021996663300294386,0.021851752857660972,0.03386959842457714,0.03568966364840945,0.04481663649309676,0.34568688192090125,0.06893760060462333,0.009377908891995537,0.050355501158023105,0.003763387443083291,0.03270080449684917,0.16588164196905597,0.013571988147502163,0.06578843803050989,0.038980942157189793,0.01848754378794494,0.08096875761280854,0.026147677877801104,0.016051088610728653,0.027024640750953212,0.22346294242924475,0.055396170630621154,0.06694051117599065,0.10616397917026663,0.08050636609294345,0.17681663294029726,0.08160214666491869,0.015946281997548165,0.010890370624763682,0.011448115900895953,0.03829335507823288,0.022305651372486975,0.03325994586022518,0.08202469657937636,0.010383329737790223,0.017480294454908774,0.02135145394603767,0.2871158841029702,0.04391357660675038,0.011735828480549621,0.035206954154400616,0.011821196510122575,0.02062910433941612,0.02979363647257368,0.7119887057787193,0.0188469641016682,0.04015237109146104,0.004138304961241301,0.007920167300686135,0.01608339247665307,0.043470073206385726,0.011943860102227543,0.02022923826180278,0.012916103860412413,0.12967959470980278,0.013450284407271418,0.0972263873772283,0.02154180568454053,0.03918055973327391,0.07383038652897933,0.0250122342980606,0.02398377158855098,0.03540334332062775,0.05811640234558284,0.10911451695598344,0.43333921286501154,1.1132323392376875,0.268947209889397,0.14533540030270492,0.18310012391376143,0.0,0.0,0.0,0.0,0.0,162.0,33047.0,4.766686901930406,0.003917862240570548,0.03670949726764862,9.352120110751523,0.0009083733333333333,2.799742464,0.0,0.0,0.004290213017723821,0.8057799989853981,5.0303117364764526e-08,0.0031523273343461184,0.13107328
staged_matched_control_agent01_codex_003,agent01_codex,staged,matched_control,1,1,0,0,17851.0,65.524274688,475.0,15575.0,1791.0,10.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4006.0,11.0,6.0,0.0,0.0,0.0,0.0,1.0,169.0,56.0,65.0,1.0,0.0019606744720183744,0.005489888521651448,0.007282505181782533,0.016805781188728924,0.04425522379698616,0.023416055122962298,0.22676600750658227,0.0053218307097641585,0.006330177581087894,0.014452971822306874,0.020503053050249284,0.007786678617444401,0.2559520475043415,0.024760517618060612,0.0023528093664220494,0.002296790095792953,0.004817657274102292,0.12559520475043415,0.0717606856758725,0.01955072544955465,0.005545907792280544,0.008234832782477173,0.012212200997143017,0.00733852445241163,0.009803372360091872,0.11993725841689541,0.024368382723656937,0.0014565010363565066,0.0171979160831326,0.0016245588482437959,0.007002408828637051,0.044423281608873454,0.004257464567811327,0.020166937426474706,0.007226485911153437,0.003921348944036749,0.027561481149515434,0.00969133381883368,0.0061061004985715085,0.00969133381883368,0.0780348439863313,0.019494706178925552,0.024256344182398745,0.03831718111030195,0.028009635314548205,0.059716542490616774,0.028009635314548205,0.005489888521651448,0.003809310402778556,0.003977368214665845,0.016357627023696152,0.008458909864993558,0.009299198924430005,0.02901798218587194,0.004201445297182231,0.007450562993669823,0.008010755699960787,0.10329953504005378,0.01747801243627808,0.004481541650327713,0.013220547868466753,0.004481541650327713,0.007394543723040726,0.012604335891546692,0.24710100274494426,0.006722312475491569,0.0071704666405243405,0.002016693742647471,0.0029690213433421096,0.006442216122346087,0.01809422441319814,0.005153772897876869,0.005209792168505966,0.0045375609209568095,0.046047840457117246,0.004985715085989581,0.023920228558624166,0.00873900621813904,0.014845106716710549,0.02560080667749706,0.008963083300655426,0.009075121841913619,0.011652008290852053,0.016301607753067056,0.027897596773290012,0.15315668589994957,0.38658898661139435,0.0951767407988348,0.030194386869082965,0.06117304352697328,0.0,0.0,0.0,0.0,0.0,52.0,9123.0,1.608151310747909,0.003670827713613445,0.06845708905683821,18.648946708671478,0.000872192,7.739304192,0.0,0.0,0.0017441177219520592,0.8982133873517347,8.344315372606922e-08,0.003753501400560224,0.128203776
staged_matched_control_agent01_codex_003,agent01_codex,staged,matched_control,2,2,0,0,39886.0,141.382166784,1029.0,34997.0,3840.0,20.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,8840.0,22.0,14.0,0.0,0.0,0.0,0.0,2.0,454.0,129.0,138.0,2.0,0.003458291898839341,0.009483534993174026,0.01395371008307593,0.03382416103896718,0.08782227621359609,0.04665181641182094,0.4597589732429108,0.0107677122618404,0.013092147174915896,0.02811305804876478,0.03974516786758534,0.013187177823253342,0.517626656081605,0.048540867062126875,0.004984985449925566,0.004520525062890752,0.008266715590417245,0.24980668648403978,0.1395165286529544,0.03956434015343484,0.010129524765278048,0.01576830226284931,0.024238522757978054,0.015144288010387577,0.01924290038369069,0.24469332830570867,0.04960096724827686,0.0025910596930390573,0.034760884088578484,0.002486823427322534,0.013582849037395844,0.08681039302253354,0.010565610698966308,0.03868293470353393,0.014896102430327478,0.0073250249140844,0.05456397717856014,0.018087067878284555,0.010962011549172824,0.018132450224551858,0.163489802007661,0.03891835038133082,0.05130422255771075,0.07512226393308388,0.058778866083778976,0.1254755622319374,0.05687280754055229,0.011026534766262294,0.00725836871909351,0.007834867647386516,0.028157037053194677,0.015493173536425372,0.017604168291346273,0.05715503687159919,0.007423591882160675,0.011081150695053985,0.013547401944571633,0.2005085207446147,0.028052099116559454,0.008656717506919499,0.0255191637069056,0.008339041083048384,0.013475778122859196,0.02444912826731252,0.5018774946895778,0.012848929221577342,0.01366014215674853,0.002878958321726209,0.005465050388043721,0.013113421023639483,0.03887933900362246,0.00991891925594358,0.010564909028047603,0.007850472198469856,0.09465233330939771,0.009433185020185178,0.046792931077344384,0.01432103480901719,0.028959016405841476,0.053193273208016686,0.017494964398908207,0.017697767632701002,0.0217722715084604,0.03186775252275165,0.05585312207394806,0.31231257425937775,0.7825953401398718,0.19302107935113794,0.0600559707129677,0.1221215345639599,0.0,0.0,0.0,0.0,0.0,105.0,20708.0,3.16669977118971,0.003556796540295876,0.0554333292080033,15.483701840756527,0.0008872960000000001,5.655779583999999,0.0,0.0,0.002491144721538766,0.874022931584875,5.524159668366236e-08,0.0033971282985373508,0.11420736
staged_matched_control_agent01_codex_003,agent01_codex,staged,matched_control,3,3,0,0,63035.0,237.290290944,1617.0,55461.0,5927.0,30.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,14240.0,33.0,25.0,0.0,0.0,0.0,0.0,3.0,673.0,200.0,213.0,3.0,0.005359021951973386,0.015574510845262669,0.02194541598829862,0.048036438027174014,0.13007032148553008,0.06950377545972797,0.6898337064927272,0.016599497652138036,0.01961510712998955,0.040597398625031575,0.05624696060161273,0.01906216162384948,0.7904246171166389,0.075712667139884,0.007836080529626633,0.0068532392190098065,0.013234532774744862,0.3604378152585009,0.21524334190622668,0.05615252970805923,0.014881349898113159,0.024019198629863004,0.03728444266812536,0.023049597095013263,0.028184971315480402,0.36685843262986956,0.07318729927125842,0.0035846231299045805,0.052645025952157906,0.0033507916332925543,0.020494594685156006,0.12218989105700587,0.014237475574338895,0.057258251131889364,0.021203070333908627,0.011385675482143495,0.08134699156363076,0.02685634516888026,0.017787360376335985,0.02586496566798354,0.24275888490541037,0.061295126915954345,0.0703115230890512,0.11546957915188383,0.08344515836422306,0.19044597132088292,0.08775967090398051,0.016728724925664427,0.01067104313267509,0.011809121394848611,0.04215332198990901,0.023787268313737567,0.026114255120150975,0.0878259081835349,0.010404282192757245,0.016783340854456118,0.021150322157107812,0.30146320561221157,0.04438109820939284,0.011767003048411571,0.035368401254963835,0.012183699599614975,0.02012833330882835,0.03334800078880373,0.7631846785852103,0.019717476459039002,0.019794316419135673,0.004520497913069248,0.008229748647147785,0.018297230259459604,0.05283242553003829,0.014195561875495182,0.016007908725658732,0.011695130715036446,0.13957868001983875,0.01379622446033378,0.06688019186614735,0.02196715343185187,0.04416485683091383,0.08256819221099737,0.026437035330697918,0.024566314870162663,0.0343430089053242,0.04845594207737604,0.08142658097066066,0.4681724386163694,1.1849885320704088,0.2933277880642573,0.08861011992027687,0.19024542760469598,0.0,0.0,0.0,0.0,0.0,164.0,32806.0,4.703369833421549,0.0037522835203838757,0.0629740985843348,16.6021981836755,0.0008835413333333334,5.648181418666667,0.0,0.0,0.003617736507553615,0.8824117707955942,1.0271872040190396e-07,0.0032295583737844188,0.10978099199999998
staged_matched_control_agent02_anthropic_001,agent02_anthropic,staged,matched_control,1,1,0,0,867.0,3.385073152,1.0,648.0,218.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,359.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,4.0,0.0,0.0034602076124567475,0.1510957324106113,0.012687427912341407,0.00461361014994233,0.04152249134948097,0.02422145328719723,0.18108419838523646,0.0057670126874279125,0.0034602076124567475,0.1637831603229527,0.008073817762399077,0.0034602076124567475,0.29988465974625145,0.00461361014994233,0.01845444059976932,0.008073817762399077,0.13725490196078433,0.006920415224913495,0.03575547866205306,0.0034602076124567475,0.040369088811995385,0.008073817762399077,0.00461361014994233,0.00922722029988466,0.016147635524798153,0.04498269896193772,0.0265282583621684,0.00922722029988466,0.011534025374855825,0.002306805074971165,0.0034602076124567475,0.17416378316032297,0.00461361014994233,0.006920415224913495,0.0034602076124567475,0.00461361014994233,0.014994232987312572,0.01730103806228374,0.00461361014994233,0.002306805074971165,0.00922722029988466,0.011534025374855825,0.01730103806228374,0.02883506343713956,0.00461361014994233,0.12110726643598616,0.006920415224913495,0.0011534025374855825,0.002306805074971165,0.0034602076124567475,0.01384083044982699,0.15916955017301038,0.002306805074971165,0.0034602076124567475,0.0034602076124567475,0.002306805074971165,0.012687427912341407,0.22722029988465975,0.00922722029988466,0.0057670126874279125,0.0057670126874279125,0.011534025374855825,0.016147635524798153,0.002306805074971165,0.02306805074971165,0.02191464821222607,0.011534025374855825,0.0,0.00922722029988466,0.031141868512110725,0.0,0.0034602076124567475,0.011534025374855825,0.0057670126874279125,0.01730103806228374,0.0034602076124567475,0.02306805074971165,0.002306805074971165,0.010380622837370242,0.002306805074971165,0.25720876585928487,0.008073817762399077,0.0057670126874279125,0.010380622837370242,0.02883506343713956,0.03344867358708189,0.03344867358708189,0.008073817762399077,0.02768166089965398,0.19838523644752018,0.0,0.0,0.0,0.0,0.0,24.0,373.0,2.1953888855023407,0.0039088604526558894,0.012016610073182311,3.0741969800483933,0.000952832,0.257740032,0.0,0.0,0.0,0.5091057810986661,-4.994252619443541e-06,1.0,3.385073152
