model,auc,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,tp,tn,fp,fn,auc_ci_low,auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,f1_ci_low,f1_ci_high,mcc_ci_low,mcc_ci_high
Framework-only baseline,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,27,0,18,,,,,,,,
Raw pooled telemetry,0.2448559670781893,0.5185185185185185,0.1111111111111111,0.9259259259259259,0.5,0.1818181818181818,0.06375767130633384,2,25,2,16,,,,,,,,
Framework-residual detector,0.4444444444444444,0.4722222222222222,0.2777777777777778,0.6666666666666666,0.35714285714285715,0.31250000000000006,-0.058789635125221534,5,18,9,13,0.26542585095216675,0.6269977829188353,0.33892722810149184,0.6057321754332623,0.08695652173913045,0.5116279069767442,-0.3463295213238288,0.23515854050088614
Ablation: volume only,0.4876543209876543,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.25,0.15384615384615383,-0.14237369936287486,2,21,6,16,,,,,,,,
Ablation: process only,0.2551440329218107,0.48148148148148145,0.0,0.9629629629629629,0.0,0.0,-0.12309149097933274,0,26,1,18,,,,,,,,
Ablation: filesystem only,0.5288065843621399,0.5185185185185185,0.2222222222222222,0.8148148148148148,0.4444444444444444,0.2962962962962963,0.045360921162651446,4,22,5,14,,,,,,,,
Ablation: privilege only,0.3395061728395062,0.5,0.1111111111111111,0.8888888888888888,0.4,0.1739130434782609,0.0,2,24,3,16,,,,,,,,
Ablation: motif only,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,27,0,18,,,,,,,,
