framework,pattern,auc,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,tp,tn,fp,fn,n
agent01_codex,staged,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5714285714285715,0.0,2,1,2,1,6
agent01_codex,trigger,0.8888888888888888,0.8333333333333333,0.6666666666666666,1.0,1.0,0.8,0.7559289460184544,2,6,0,1,9
agent02_anthropic,staged,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1,1,2,2,6
agent02_anthropic,trigger,0.3333333333333333,0.25,0.0,0.5,0.0,0.0,-0.5,0,3,3,3,9
agent03_cursor,staged,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,-0.7071067811865476,0,1,2,3,6
agent03_cursor,trigger,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0,6,0,3,9
