case,attempt,expected,exit_code,decision_correct,state_correct,pre_device,pre_inode,post_device,post_inode,pre_hash,post_hash,hardlink_device,hardlink_inode,hardlink_type,audit_evidence
direct_write,21,deny,13,1,1,37,196693,37,196693,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196693,sentinelpath_protected_t,bounded_avc_log
direct_write,22,deny,13,1,1,37,196708,37,196708,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196708,sentinelpath_protected_t,bounded_avc_log
direct_write,23,deny,13,1,1,37,196722,37,196722,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196722,sentinelpath_protected_t,bounded_avc_log
direct_write,24,deny,13,1,1,37,196736,37,196736,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196736,sentinelpath_protected_t,bounded_avc_log
direct_write,25,deny,13,1,1,37,196750,37,196750,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196750,sentinelpath_protected_t,bounded_avc_log
direct_write,26,deny,13,1,1,37,196763,37,196763,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196763,sentinelpath_protected_t,bounded_avc_log
direct_write,27,deny,13,1,1,37,196778,37,196778,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196778,sentinelpath_protected_t,bounded_avc_log
direct_write,28,deny,13,1,1,37,196793,37,196793,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196793,sentinelpath_protected_t,bounded_avc_log
direct_write,29,deny,13,1,1,37,196807,37,196807,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196807,sentinelpath_protected_t,bounded_avc_log
direct_write,30,deny,13,1,1,37,196819,37,196819,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196819,sentinelpath_protected_t,bounded_avc_log
direct_write,31,deny,13,1,1,37,196835,37,196835,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196835,sentinelpath_protected_t,bounded_avc_log
direct_write,32,deny,13,1,1,37,196848,37,196848,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196848,sentinelpath_protected_t,bounded_avc_log
direct_write,33,deny,13,1,1,37,196861,37,196861,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196861,sentinelpath_protected_t,bounded_avc_log
direct_write,34,deny,13,1,1,37,196877,37,196877,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196877,sentinelpath_protected_t,bounded_avc_log
direct_write,35,deny,13,1,1,37,196891,37,196891,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196891,sentinelpath_protected_t,bounded_avc_log
direct_write,36,deny,13,1,1,37,196904,37,196904,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196904,sentinelpath_protected_t,bounded_avc_log
direct_write,37,deny,13,1,1,37,196918,37,196918,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196918,sentinelpath_protected_t,bounded_avc_log
direct_write,38,deny,13,1,1,37,196933,37,196933,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196933,sentinelpath_protected_t,bounded_avc_log
direct_write,39,deny,13,1,1,37,196946,37,196946,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196946,sentinelpath_protected_t,bounded_avc_log
direct_write,40,deny,13,1,1,37,196962,37,196962,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196962,sentinelpath_protected_t,bounded_avc_log
direct_write,41,deny,13,1,1,37,196975,37,196975,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196975,sentinelpath_protected_t,bounded_avc_log
direct_write,42,deny,13,1,1,37,196989,37,196989,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,196989,sentinelpath_protected_t,bounded_avc_log
direct_write,43,deny,13,1,1,37,197004,37,197004,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197004,sentinelpath_protected_t,bounded_avc_log
direct_write,44,deny,13,1,1,37,197017,37,197017,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197017,sentinelpath_protected_t,bounded_avc_log
direct_write,45,deny,13,1,1,37,197031,37,197031,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197031,sentinelpath_protected_t,bounded_avc_log
direct_write,46,deny,13,1,1,37,197047,37,197047,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197047,sentinelpath_protected_t,bounded_avc_log
direct_write,47,deny,13,1,1,37,197060,37,197060,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197060,sentinelpath_protected_t,bounded_avc_log
direct_write,48,deny,13,1,1,37,197075,37,197075,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197075,sentinelpath_protected_t,bounded_avc_log
direct_write,49,deny,13,1,1,37,197089,37,197089,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197089,sentinelpath_protected_t,bounded_avc_log
direct_write,50,deny,13,1,1,37,197101,37,197101,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197101,sentinelpath_protected_t,bounded_avc_log
direct_write,51,deny,13,1,1,37,197117,37,197117,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197117,sentinelpath_protected_t,bounded_avc_log
direct_write,52,deny,13,1,1,37,197130,37,197130,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197130,sentinelpath_protected_t,bounded_avc_log
direct_write,53,deny,13,1,1,37,197144,37,197144,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197144,sentinelpath_protected_t,bounded_avc_log
direct_write,54,deny,13,1,1,37,197159,37,197159,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197159,sentinelpath_protected_t,bounded_avc_log
direct_write,55,deny,13,1,1,37,197169,37,197169,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197169,sentinelpath_protected_t,bounded_avc_log
direct_write,56,deny,13,1,1,37,197184,37,197184,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197184,sentinelpath_protected_t,bounded_avc_log
direct_write,57,deny,13,1,1,37,197201,37,197201,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197201,sentinelpath_protected_t,bounded_avc_log
direct_write,58,deny,13,1,1,37,197206,37,197206,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197206,sentinelpath_protected_t,bounded_avc_log
direct_write,59,deny,13,1,1,37,197229,37,197229,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197229,sentinelpath_protected_t,bounded_avc_log
direct_write,60,deny,13,1,1,37,197240,37,197240,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197240,sentinelpath_protected_t,bounded_avc_log
direct_write,61,deny,13,1,1,37,197256,37,197256,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197256,sentinelpath_protected_t,bounded_avc_log
direct_write,62,deny,13,1,1,37,197271,37,197271,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197271,sentinelpath_protected_t,bounded_avc_log
direct_write,63,deny,13,1,1,37,197282,37,197282,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,07896363bde86b5a79b130c80fb974e408aa8f79c75ec314d9be03c2f9f591af,37,197282,sentinelpath_protected_t,bounded_avc_log
