condition,trial,iterations,allowed,denied,total_ns,ns_per_operation
protected_unauthorized_write,12,1000,0,1000,5546300,5546.300
protected_authorized_write,12,1000,1000,0,17488200,17488.200
monitored_unrelated_write,13,5000,5000,0,32297400,6459.480
protected_read,13,5000,5000,0,28872400,5774.480
protected_unauthorized_write,13,1000,0,1000,6555100,6555.100
protected_authorized_write,13,1000,1000,0,9245900,9245.900
monitored_unrelated_write,14,5000,5000,0,35813600,7162.720
protected_read,14,5000,5000,0,30680700,6136.140
protected_unauthorized_write,14,1000,0,1000,3699500,3699.500
protected_authorized_write,14,1000,1000,0,16103500,16103.500
monitored_unrelated_write,15,5000,5000,0,33672300,6734.460
protected_read,15,5000,5000,0,32276600,6455.320
protected_unauthorized_write,15,1000,0,1000,3780300,3780.300
protected_authorized_write,15,1000,1000,0,11604100,11604.100
monitored_unrelated_write,16,5000,5000,0,38541000,7708.200
protected_read,16,5000,5000,0,26594600,5318.920
protected_unauthorized_write,16,1000,0,1000,4002200,4002.200
protected_authorized_write,16,1000,1000,0,10575100,10575.100
monitored_unrelated_write,17,5000,5000,0,33725700,6745.140
protected_read,17,5000,5000,0,28259200,5651.840
protected_unauthorized_write,17,1000,0,1000,4512800,4512.800
protected_authorized_write,17,1000,1000,0,11292300,11292.300
monitored_unrelated_write,18,5000,5000,0,38086700,7617.340
protected_read,18,5000,5000,0,29751100,5950.220
protected_unauthorized_write,18,1000,0,1000,3607100,3607.100
protected_authorized_write,18,1000,1000,0,13148100,13148.100
monitored_unrelated_write,19,5000,5000,0,31369200,6273.840
protected_read,19,5000,5000,0,30151900,6030.380
protected_unauthorized_write,19,1000,0,1000,5633800,5633.800
protected_authorized_write,19,1000,1000,0,22365500,22365.500
monitored_unrelated_write,20,5000,5000,0,30521100,6104.220
protected_read,20,5000,5000,0,28852400,5770.480
protected_unauthorized_write,20,1000,0,1000,3601600,3601.600
protected_authorized_write,20,1000,1000,0,8227700,8227.700
monitored_unrelated_write,21,5000,5000,0,27413500,5482.700
protected_read,21,5000,5000,0,26160100,5232.020
protected_unauthorized_write,21,1000,0,1000,3748200,3748.200
protected_authorized_write,21,1000,1000,0,8691100,8691.100
monitored_unrelated_write,22,5000,5000,0,26076600,5215.320
protected_read,22,5000,5000,0,24909800,4981.960
protected_unauthorized_write,22,1000,0,1000,3856900,3856.900
protected_authorized_write,22,1000,1000,0,6030200,6030.200
