mechanism,case,trial,expected,command_rc,decision_correct,state_correct,observed
AppArmor,symlink_write,26,deny,1,1,1,deny
AppArmor,symlink_write,27,deny,1,1,1,deny
AppArmor,symlink_write,28,deny,1,1,1,deny
AppArmor,symlink_write,29,deny,1,1,1,deny
AppArmor,symlink_write,30,deny,1,1,1,deny
AppArmor,symlink_write,31,deny,1,1,1,deny
AppArmor,symlink_write,32,deny,1,1,1,deny
AppArmor,symlink_write,33,deny,1,1,1,deny
AppArmor,symlink_write,34,deny,1,1,1,deny
AppArmor,symlink_write,35,deny,1,1,1,deny
AppArmor,symlink_write,36,deny,1,1,1,deny
AppArmor,symlink_write,37,deny,1,1,1,deny
AppArmor,symlink_write,38,deny,1,1,1,deny
AppArmor,symlink_write,39,deny,1,1,1,deny
AppArmor,symlink_write,40,deny,1,1,1,deny
AppArmor,symlink_write,41,deny,1,1,1,deny
AppArmor,symlink_write,42,deny,1,1,1,deny
AppArmor,symlink_write,43,deny,1,1,1,deny
AppArmor,symlink_write,44,deny,1,1,1,deny
AppArmor,symlink_write,45,deny,1,1,1,deny
AppArmor,symlink_write,46,deny,1,1,1,deny
AppArmor,symlink_write,47,deny,1,1,1,deny
AppArmor,symlink_write,48,deny,1,1,1,deny
AppArmor,symlink_write,49,deny,1,1,1,deny
AppArmor,symlink_write,50,deny,1,1,1,deny
AppArmor,symlink_write,51,deny,1,1,1,deny
AppArmor,symlink_write,52,deny,1,1,1,deny
AppArmor,symlink_write,53,deny,1,1,1,deny
AppArmor,symlink_write,54,deny,1,1,1,deny
AppArmor,symlink_write,55,deny,1,1,1,deny
AppArmor,symlink_write,56,deny,1,1,1,deny
AppArmor,symlink_write,57,deny,1,1,1,deny
AppArmor,symlink_write,58,deny,1,1,1,deny
AppArmor,symlink_write,59,deny,1,1,1,deny
AppArmor,symlink_write,60,deny,1,1,1,deny
AppArmor,symlink_write,61,deny,1,1,1,deny
AppArmor,symlink_write,62,deny,1,1,1,deny
AppArmor,symlink_write,63,deny,1,1,1,deny
AppArmor,symlink_write,64,deny,1,1,1,deny
AppArmor,symlink_write,65,deny,1,1,1,deny
AppArmor,symlink_write,66,deny,1,1,1,deny
AppArmor,symlink_write,67,deny,1,1,1,deny
AppArmor,symlink_write,68,deny,1,1,1,deny
AppArmor,symlink_write,69,deny,1,1,1,deny
AppArmor,symlink_write,70,deny,1,1,1,deny
AppArmor,symlink_write,71,deny,1,1,1,deny
AppArmor,symlink_write,72,deny,1,1,1,deny
AppArmor,symlink_write,73,deny,1,1,1,deny
AppArmor,symlink_write,74,deny,1,1,1,deny
AppArmor,symlink_write,75,deny,1,1,1,deny
AppArmor,symlink_write,76,deny,1,1,1,deny
AppArmor,symlink_write,77,deny,1,1,1,deny
AppArmor,symlink_write,78,deny,1,1,1,deny
AppArmor,symlink_write,79,deny,1,1,1,deny
AppArmor,symlink_write,80,deny,1,1,1,deny
AppArmor,symlink_write,81,deny,1,1,1,deny
AppArmor,symlink_write,82,deny,1,1,1,deny
AppArmor,symlink_write,83,deny,1,1,1,deny
AppArmor,symlink_write,84,deny,1,1,1,deny
AppArmor,symlink_write,85,deny,1,1,1,deny
AppArmor,symlink_write,86,deny,1,1,1,deny
AppArmor,symlink_write,87,deny,1,1,1,deny
AppArmor,symlink_write,88,deny,1,1,1,deny
AppArmor,symlink_write,89,deny,1,1,1,deny
AppArmor,symlink_write,90,deny,1,1,1,deny
AppArmor,symlink_write,91,deny,1,1,1,deny
AppArmor,symlink_write,92,deny,1,1,1,deny
AppArmor,symlink_write,93,deny,1,1,1,deny
AppArmor,symlink_write,94,deny,1,1,1,deny
AppArmor,symlink_write,95,deny,1,1,1,deny
AppArmor,symlink_write,96,deny,1,1,1,deny
AppArmor,symlink_write,97,deny,1,1,1,deny
AppArmor,symlink_write,98,deny,1,1,1,deny
AppArmor,symlink_write,99,deny,1,1,1,deny
AppArmor,symlink_write,100,deny,1,1,1,deny
AppArmor,hardlink_write,1,deny,0,0,0,allow
AppArmor,hardlink_write,2,deny,0,0,0,allow
AppArmor,hardlink_write,3,deny,0,0,0,allow
AppArmor,hardlink_write,4,deny,0,0,0,allow
AppArmor,hardlink_write,5,deny,0,0,0,allow
AppArmor,hardlink_write,6,deny,0,0,0,allow
AppArmor,hardlink_write,7,deny,0,0,0,allow
AppArmor,hardlink_write,8,deny,0,0,0,allow
AppArmor,hardlink_write,9,deny,0,0,0,allow
AppArmor,hardlink_write,10,deny,0,0,0,allow
AppArmor,hardlink_write,11,deny,0,0,0,allow
AppArmor,hardlink_write,12,deny,0,0,0,allow
AppArmor,hardlink_write,13,deny,0,0,0,allow
AppArmor,hardlink_write,14,deny,0,0,0,allow
AppArmor,hardlink_write,15,deny,0,0,0,allow
AppArmor,hardlink_write,16,deny,0,0,0,allow
AppArmor,hardlink_write,17,deny,0,0,0,allow
AppArmor,hardlink_write,18,deny,0,0,0,allow
AppArmor,hardlink_write,19,deny,0,0,0,allow
AppArmor,hardlink_write,20,deny,0,0,0,allow
AppArmor,hardlink_write,21,deny,0,0,0,allow
AppArmor,hardlink_write,22,deny,0,0,0,allow
AppArmor,hardlink_write,23,deny,0,0,0,allow
AppArmor,hardlink_write,24,deny,0,0,0,allow
AppArmor,hardlink_write,25,deny,0,0,0,allow
AppArmor,hardlink_write,26,deny,0,0,0,allow
AppArmor,hardlink_write,27,deny,0,0,0,allow
AppArmor,hardlink_write,28,deny,0,0,0,allow
AppArmor,hardlink_write,29,deny,0,0,0,allow
AppArmor,hardlink_write,30,deny,0,0,0,allow
AppArmor,hardlink_write,31,deny,0,0,0,allow
AppArmor,hardlink_write,32,deny,0,0,0,allow
AppArmor,hardlink_write,33,deny,0,0,0,allow
AppArmor,hardlink_write,34,deny,0,0,0,allow
AppArmor,hardlink_write,35,deny,0,0,0,allow
AppArmor,hardlink_write,36,deny,0,0,0,allow
AppArmor,hardlink_write,37,deny,0,0,0,allow
AppArmor,hardlink_write,38,deny,0,0,0,allow
AppArmor,hardlink_write,39,deny,0,0,0,allow
AppArmor,hardlink_write,40,deny,0,0,0,allow
AppArmor,hardlink_write,41,deny,0,0,0,allow
AppArmor,hardlink_write,42,deny,0,0,0,allow
AppArmor,hardlink_write,43,deny,0,0,0,allow
AppArmor,hardlink_write,44,deny,0,0,0,allow
AppArmor,hardlink_write,45,deny,0,0,0,allow
AppArmor,hardlink_write,46,deny,0,0,0,allow
AppArmor,hardlink_write,47,deny,0,0,0,allow
AppArmor,hardlink_write,48,deny,0,0,0,allow
AppArmor,hardlink_write,49,deny,0,0,0,allow
AppArmor,hardlink_write,50,deny,0,0,0,allow
AppArmor,hardlink_write,51,deny,0,0,0,allow
AppArmor,hardlink_write,52,deny,0,0,0,allow
AppArmor,hardlink_write,53,deny,0,0,0,allow
AppArmor,hardlink_write,54,deny,0,0,0,allow
AppArmor,hardlink_write,55,deny,0,0,0,allow
AppArmor,hardlink_write,56,deny,0,0,0,allow
AppArmor,hardlink_write,57,deny,0,0,0,allow
AppArmor,hardlink_write,58,deny,0,0,0,allow
AppArmor,hardlink_write,59,deny,0,0,0,allow
AppArmor,hardlink_write,60,deny,0,0,0,allow
AppArmor,hardlink_write,61,deny,0,0,0,allow
AppArmor,hardlink_write,62,deny,0,0,0,allow
AppArmor,hardlink_write,63,deny,0,0,0,allow
AppArmor,hardlink_write,64,deny,0,0,0,allow
AppArmor,hardlink_write,65,deny,0,0,0,allow
AppArmor,hardlink_write,66,deny,0,0,0,allow
AppArmor,hardlink_write,67,deny,0,0,0,allow
AppArmor,hardlink_write,68,deny,0,0,0,allow
AppArmor,hardlink_write,69,deny,0,0,0,allow
AppArmor,hardlink_write,70,deny,0,0,0,allow
AppArmor,hardlink_write,71,deny,0,0,0,allow
AppArmor,hardlink_write,72,deny,0,0,0,allow
AppArmor,hardlink_write,73,deny,0,0,0,allow
AppArmor,hardlink_write,74,deny,0,0,0,allow
AppArmor,hardlink_write,75,deny,0,0,0,allow
AppArmor,hardlink_write,76,deny,0,0,0,allow
AppArmor,hardlink_write,77,deny,0,0,0,allow
AppArmor,hardlink_write,78,deny,0,0,0,allow
AppArmor,hardlink_write,79,deny,0,0,0,allow
AppArmor,hardlink_write,80,deny,0,0,0,allow
AppArmor,hardlink_write,81,deny,0,0,0,allow
AppArmor,hardlink_write,82,deny,0,0,0,allow
AppArmor,hardlink_write,83,deny,0,0,0,allow
AppArmor,hardlink_write,84,deny,0,0,0,allow
AppArmor,hardlink_write,85,deny,0,0,0,allow
AppArmor,hardlink_write,86,deny,0,0,0,allow
AppArmor,hardlink_write,87,deny,0,0,0,allow
AppArmor,hardlink_write,88,deny,0,0,0,allow
AppArmor,hardlink_write,89,deny,0,0,0,allow
AppArmor,hardlink_write,90,deny,0,0,0,allow
AppArmor,hardlink_write,91,deny,0,0,0,allow
AppArmor,hardlink_write,92,deny,0,0,0,allow
AppArmor,hardlink_write,93,deny,0,0,0,allow
AppArmor,hardlink_write,94,deny,0,0,0,allow
AppArmor,hardlink_write,95,deny,0,0,0,allow
AppArmor,hardlink_write,96,deny,0,0,0,allow
AppArmor,hardlink_write,97,deny,0,0,0,allow
AppArmor,hardlink_write,98,deny,0,0,0,allow
AppArmor,hardlink_write,99,deny,0,0,0,allow
AppArmor,hardlink_write,100,deny,0,0,0,allow
AppArmor,rename_away,1,deny,1,1,1,deny
AppArmor,rename_away,2,deny,1,1,1,deny
AppArmor,rename_away,3,deny,1,1,1,deny
AppArmor,rename_away,4,deny,1,1,1,deny
AppArmor,rename_away,5,deny,1,1,1,deny
AppArmor,rename_away,6,deny,1,1,1,deny
AppArmor,rename_away,7,deny,1,1,1,deny
AppArmor,rename_away,8,deny,1,1,1,deny
AppArmor,rename_away,9,deny,1,1,1,deny
AppArmor,rename_away,10,deny,1,1,1,deny
AppArmor,rename_away,11,deny,1,1,1,deny
AppArmor,rename_away,12,deny,1,1,1,deny
AppArmor,rename_away,13,deny,1,1,1,deny
AppArmor,rename_away,14,deny,1,1,1,deny
AppArmor,rename_away,15,deny,1,1,1,deny
AppArmor,rename_away,16,deny,1,1,1,deny
AppArmor,rename_away,17,deny,1,1,1,deny
AppArmor,rename_away,18,deny,1,1,1,deny
AppArmor,rename_away,19,deny,1,1,1,deny
AppArmor,rename_away,20,deny,1,1,1,deny
AppArmor,rename_away,21,deny,1,1,1,deny
AppArmor,rename_away,22,deny,1,1,1,deny
AppArmor,rename_away,23,deny,1,1,1,deny
AppArmor,rename_away,24,deny,1,1,1,deny
AppArmor,rename_away,25,deny,1,1,1,deny
AppArmor,rename_away,26,deny,1,1,1,deny
AppArmor,rename_away,27,deny,1,1,1,deny
AppArmor,rename_away,28,deny,1,1,1,deny
AppArmor,rename_away,29,deny,1,1,1,deny
AppArmor,rename_away,30,deny,1,1,1,deny
AppArmor,rename_away,31,deny,1,1,1,deny
AppArmor,rename_away,32,deny,1,1,1,deny
AppArmor,rename_away,33,deny,1,1,1,deny
AppArmor,rename_away,34,deny,1,1,1,deny
AppArmor,rename_away,35,deny,1,1,1,deny
AppArmor,rename_away,36,deny,1,1,1,deny
AppArmor,rename_away,37,deny,1,1,1,deny
AppArmor,rename_away,38,deny,1,1,1,deny
AppArmor,rename_away,39,deny,1,1,1,deny
AppArmor,rename_away,40,deny,1,1,1,deny
AppArmor,rename_away,41,deny,1,1,1,deny
AppArmor,rename_away,42,deny,1,1,1,deny
AppArmor,rename_away,43,deny,1,1,1,deny
AppArmor,rename_away,44,deny,1,1,1,deny
AppArmor,rename_away,45,deny,1,1,1,deny
AppArmor,rename_away,46,deny,1,1,1,deny
AppArmor,rename_away,47,deny,1,1,1,deny
AppArmor,rename_away,48,deny,1,1,1,deny
AppArmor,rename_away,49,deny,1,1,1,deny
AppArmor,rename_away,50,deny,1,1,1,deny
AppArmor,rename_away,51,deny,1,1,1,deny
AppArmor,rename_away,52,deny,1,1,1,deny
AppArmor,rename_away,53,deny,1,1,1,deny
AppArmor,rename_away,54,deny,1,1,1,deny
AppArmor,rename_away,55,deny,1,1,1,deny
AppArmor,rename_away,56,deny,1,1,1,deny
AppArmor,rename_away,57,deny,1,1,1,deny
AppArmor,rename_away,58,deny,1,1,1,deny
AppArmor,rename_away,59,deny,1,1,1,deny
AppArmor,rename_away,60,deny,1,1,1,deny
AppArmor,rename_away,61,deny,1,1,1,deny
AppArmor,rename_away,62,deny,1,1,1,deny
AppArmor,rename_away,63,deny,1,1,1,deny
AppArmor,rename_away,64,deny,1,1,1,deny
AppArmor,rename_away,65,deny,1,1,1,deny
AppArmor,rename_away,66,deny,1,1,1,deny
AppArmor,rename_away,67,deny,1,1,1,deny
AppArmor,rename_away,68,deny,1,1,1,deny
AppArmor,rename_away,69,deny,1,1,1,deny
AppArmor,rename_away,70,deny,1,1,1,deny
AppArmor,rename_away,71,deny,1,1,1,deny
AppArmor,rename_away,72,deny,1,1,1,deny
AppArmor,rename_away,73,deny,1,1,1,deny
AppArmor,rename_away,74,deny,1,1,1,deny
AppArmor,rename_away,75,deny,1,1,1,deny
AppArmor,rename_away,76,deny,1,1,1,deny
AppArmor,rename_away,77,deny,1,1,1,deny
AppArmor,rename_away,78,deny,1,1,1,deny
AppArmor,rename_away,79,deny,1,1,1,deny
AppArmor,rename_away,80,deny,1,1,1,deny
AppArmor,rename_away,81,deny,1,1,1,deny
AppArmor,rename_away,82,deny,1,1,1,deny
AppArmor,rename_away,83,deny,1,1,1,deny
AppArmor,rename_away,84,deny,1,1,1,deny
AppArmor,rename_away,85,deny,1,1,1,deny
AppArmor,rename_away,86,deny,1,1,1,deny
AppArmor,rename_away,87,deny,1,1,1,deny
AppArmor,rename_away,88,deny,1,1,1,deny
AppArmor,rename_away,89,deny,1,1,1,deny
AppArmor,rename_away,90,deny,1,1,1,deny
AppArmor,rename_away,91,deny,1,1,1,deny
