condition,trials,mean_ns,sd_ns,median_ns,bootstrap_mean_ci_low_ns,bootstrap_mean_ci_high_ns
baseline_read,30,5841.344666666667,945.0374454713361,5771.9400000000005,5526.96,6191.2645
baseline_write,30,6349.482666666667,702.0096856338082,6343.83,6102.071966666666,6599.778733333333
monitored_unrelated_write,30,6662.728666666667,708.7837690148178,6625.030000000001,6418.663750000001,6911.5178
protected_authorized_write,30,12445.26,4513.232748462359,10933.7,10902.755333333333,14097.594666666666
protected_read,30,5898.106666666667,461.4612981219203,5943.8,5735.892483333334,6061.181
protected_unauthorized_write,30,4543.94,1101.9969743371694,4123.549999999999,4170.787,4948.744083333333
